ln_kingdom;ln_phylum;ln_class;ln_order;ln_family;ln_genus;ln_species;HNSm-1;HNSm-2;HNSm-3;HNS+s-1;HNS+s-2;HNS+s-3;BF-1;BF-2;BF-3;BF+s-1;BF+s-2;BF+s-3;Probio+s-1;Probio+s-2;Probio+s-3;Probio+BF-1;Probio+BF-2;Probio+BF-3;soil-1;soil-2;soil-3;HNS+Bf bassin;HNS bassin;BF;HNS;RAS;Soil;WS
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia salmonicida;0;0;18;0;0;0;0;0;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Mangroviflexus;Mangroviflexus xiamenensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;1
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Runella;Runella defluvii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chishuiella;Chishuiella changwenlii;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;35;0;0;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas lenta;0;0;1;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas alpina;1;1;0;1;1;1;3;3;0;3;0;0;0;0;0;5;12;0;0;1;4;0;0;0;1;0;3;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Zhizhongheella;Zhizhongheella caldifontis;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;4;7;0;12;9;2
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales;Procabacteriaceae;Procabacter;Candidatus Procabacter;0;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas indoloxydans;0;27;0;1;0;1;0;0;0;0;0;0;8;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;unclassified Veillonellaceae;Elbe River;0;0;0;0;0;0;0;0;0;0;0;0;0;7;17;1;1;1;1;0;0;3;1;1;0;3;5;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Cereibacter;Cereibacter changlensis;0;0;13;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;10;0;0;0;0;2;0;0;13;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia lacustris;0;1;0;0;0;0;0;0;0;0;0;0;0;19;2;0;3;4;0;0;9;0;1;1;0;0;1;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;Noviherbaspirillum malthae;0;0;1;0;0;0;32;1;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;2;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas marincola;0;2;0;0;0;11;0;0;0;0;0;0;7;7;4;0;2;0;2;2;0;0;0;0;0;3;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;Rhodanobacter aciditrophus;1;1;2;1;24;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas kaohsiungensis;0;0;0;0;0;0;17;0;13;0;0;0;2;2;0;1;0;0;0;1;2;0;0;3;0;0;0;0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans;Aquihabitans daechungensis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;3;0;0;4;19;2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Devosia pacifica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;36;4;0;0;1
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces microflavus;1;0;3;1;2;3;6;0;4;0;5;1;1;1;0;0;0;0;0;0;8;0;0;0;0;0;7;0
